ano,mes,sigla_uf,precipitacao_media_mensal_uf,temp_max_media_mensal_uf,temp_min_media_mensal_uf,umidade_max_media_mensal_uf,umidade_min_media_mensal_uf,pressao_max_media_mensal_uf,pressao_min_media_mensal_uf
2010,1,ES,22.55,27.831846792215348,26.437251417471117,72.312582109011842,66.147124723494159,993.42371069325873,992.94800040158611
2010,1,RN,61.666666666666657,28.522362821016117,27.474541636289658,74.347501770145328,67.765304616476215,1004.1994355937006,1003.660183013659
2010,1,PA,226.0823529411764,27.237583528025141,26.166846009742343,82.35709622542872,77.18288844753576,995.434881404757,994.82646958688372
2010,1,PI,116.04444444444447,27.072992418139666,25.917044112369805,76.544920249105559,71.149372111186281,981.71431283954178,981.14295405100881
2010,1,BA,63.142105263157895,26.50480171779655,25.174720634678728,73.001099225009952,66.6543993672367,968.65855360321063,968.09182505996023
2010,1,PE,115.12727272727274,26.128788377749682,24.928083219116143,74.288768163956391,68.496211587848364,964.91129078940719,964.38550250069738
2010,1,SC,250.31111111111096,22.683576829459369,21.668162288963593,85.61431674542105,80.566829640612923,942.64841470524493,942.12708851603361
2010,1,AL,86.966666666666669,27.234068282704825,26.09761921373341,77.352245296356486,71.983844310825418,999.41844290091433,998.91196073638389
2010,1,AM,174.78571428571425,27.378322300622777,26.323381709890224,84.803330834370868,80.215850987863362,1003.9884304693528,1003.102718343647
2010,1,TO,224.29999999999998,26.633758291266453,25.386282788079967,80.726868538394555,74.056740229791927,976.503662185995,975.90527437741252
2010,1,DF,273.20000000000005,22.881169272603675,21.537389530931325,78.262406526172683,71.444595513256289,893.45656016315445,891.97559483344628
2010,1,AP,429.19999999999953,25.602291105121296,24.570350404312656,91.25471698113212,87.030997304582186,1010.1595687331544,1009.6363881401618
2010,1,GO,173.6631578947368,24.94912719897977,23.613105917563693,79.812811885124077,72.95702126918377,931.39768015082586,930.61908185704544
2010,1,MG,111.26399999999995,24.845388240233504,23.459759774209903,75.618539205394626,68.962491953719464,930.93439404920343,930.41546662313874
2010,1,SP,231.49999999999983,24.433424004783642,23.285504935333115,83.546722164473778,77.773728287397375,942.84343459806769,942.30476936069056
2010,1,MT,189.02962962962951,25.919645371640918,24.76153735311534,86.462742570779568,80.95713650376419,966.02420836936074,965.40282074668642
2010,1,RS,207.67647058823525,23.827576436813803,22.656363970280445,80.655158516072248,75.81182372014608,971.93232630450768,971.392383886972
2010,1,MS,225.50999999999991,26.3396044353695,25.060416507250654,82.56123586293937,76.43810616399449,965.746829677562,965.16663914392336
2010,1,PR,187.49999999999989,24.19774014634341,23.062942272622294,81.622208788292809,80.031811262695342,945.92761003445617,945.38879568085611
2010,1,CE,83.657142857142858,27.634778406517594,26.443621089413426,73.193260397192745,67.188977390280968,983.57547026819191,983.00142891519124
2010,1,PB,101.275,26.302082072844758,25.221837138773122,75.352576826623434,69.896561125691576,972.90646246337224,972.38504517767069
2010,1,MA,147.35,27.295878448612591,26.241551073396831,80.612591241006669,75.851983999620074,995.77167054517213,995.20003147893749
2010,1,AC,223.79999999999987,26.20749853751801,25.136117185526917,88.169713311775908,83.666919361087139,986.5329516223693,985.86659663582384
2010,1,RO,263.39999999999981,26.162296453456449,25.149536920583181,86.650556908374,81.275573035358022,982.415167697306,981.75463606164055
2010,1,RJ,164.39999999999995,26.067607774297031,24.883801935239969,80.877928090749251,74.765264719515059,972.89997218351675,972.3953943287288
2010,1,SE,41.960000000000015,27.584948437858078,26.290716995682235,75.888126339069743,70.194789222693871,993.0157725954947,992.52106532659639
2010,2,GO,117.94736842105264,25.685069512847797,24.224973594312676,76.793773774695552,69.582112194473112,931.284688557857,930.47851288203424
2010,2,MG,83.276,25.244014126804569,23.768374993266534,73.112054392183069,66.288279862070553,931.03272835865118,930.49998528738422
2010,2,ES,93.4,27.611080377102404,26.267270359848489,74.272661295330323,68.386174020651509,993.61663708772471,993.131130713975
2010,2,AL,81.86666666666666,28.009999750300292,26.82820305169178,77.037560215412029,71.491506801359975,999.03679453262816,998.52801741967551
2010,2,PA,223.16470588235288,27.407707447466407,26.347251579985866,84.163932540259552,78.952435935129728,994.50905075962487,993.888354058255
2010,2,AC,186.71999999999994,26.40205579947575,25.412674191786806,88.793308868501569,85.106525120139764,987.09048931273139,986.44003000563328
2010,2,MA,139.33749999999998,27.784411414238605,26.760196685599556,81.504962592727821,76.957118837254029,994.93317247356163,994.34073682014161
2010,2,TO,136.72500000000002,27.19057976657437,25.91321433404697,80.075140062147923,73.318074909095955,975.94201124949245,975.32336996786455
2010,2,RJ,107.74545454545454,26.331163435193456,25.041491345323244,77.828465460043915,71.585902212773078,973.467336342984,973.00066542115985
2010,2,AP,432.59999999999968,26.168005952380948,25.131101190476183,90.769345238095241,86.270833333333385,1009.3766369047623,1008.8489583333333
2010,2,SP,101.22857142857143,25.387941245817885,24.08676047417309,77.9526137089402,71.46900904501571,942.67731599551485,942.15593282531688
2010,2,MS,131.87,27.224095704175987,25.952659092412016,79.507195185528531,73.459125818261839,966.15602923313088,965.58868173544124
2010,2,MT,170.04615384615377,26.47544113056275,25.262758307744814,85.131200466874361,79.28308730708963,966.42703510413253,965.80150530959781
2010,2,SC,158.12941176470579,23.639502973320461,22.54649807923477,82.644962549103084,77.492324705590136,944.56502276954018,944.06503861976989
2010,2,RS,185.39411764705875,24.707846399923611,23.538138926024956,79.9233941086894,73.46389338522296,972.16107676024967,971.6264100299212
2010,2,PR,121.01052631578943,25.145991575630479,23.940238352873305,77.690136972724346,75.487990748164947,945.51222842954121,945.00348370132019
