Ano,Mês,SG_UF_NOT,Quantidade de Casos
2014,10,50,477
2014,10,51,478
2014,10,52,3407
2014,10,53,180
2014,11,11,545
2014,11,12,6605
2014,11,13,474
2014,11,14,190
2014,11,15,503
2014,11,16,350
2014,11,17,434
2014,11,21,122
2014,11,22,245
2014,11,23,1390
2014,11,24,647
2014,11,25,257
2014,11,26,1049
2014,11,27,680
2014,11,28,219
2014,11,29,982
2014,11,31,2275
2014,11,32,945
2014,11,33,605
2014,11,35,8179
2014,11,41,1547
2014,11,42,44
2014,11,43,50
2014,11,50,532
2014,11,51,496
2014,11,52,4070
2014,11,53,272
2014,12,11,385
2014,12,12,4537
2014,12,13,480
2014,12,14,185
2014,12,15,488
2014,12,16,146
2014,12,17,591
2014,12,21,239
2014,12,22,169
2014,12,23,1749
2014,12,24,713
2014,12,25,230
2014,12,26,1369
2014,12,27,522
2014,12,28,277
2014,12,29,850
2014,12,31,2189
2014,12,32,760
2014,12,33,797
2014,12,35,10356
2014,12,41,1463
2014,12,42,38
2014,12,43,47
2014,12,50,629
2014,12,51,641
2014,12,52,5043
2014,12,53,221
2015,1,11,525
2015,1,12,3735
2015,1,13,749
2015,1,14,230
2015,1,15,644
2015,1,16,419
2015,1,17,780
2015,1,21,536
2015,1,22,251
2015,1,23,2755
2015,1,24,1498
2015,1,25,378
2015,1,26,2951
2015,1,27,933
2015,1,28,525
2015,1,29,1377
2015,1,31,5667
2015,1,32,1222
2015,1,33,3720
2015,1,35,47993
2015,1,41,3128
2015,1,42,268
2015,1,43,97
2015,1,50,1945
2015,1,51,1023
2015,1,52,13279
2015,1,53,454
2015,2,11,630
2015,2,12,2284
2015,2,13,828
2015,2,14,180
2015,2,15,1357
2015,2,16,633
2015,2,17,1291
2015,2,21,758
2015,2,22,479
2015,2,23,4052
2015,2,24,2663
2015,2,25,726
2015,2,26,5447
2015,2,27,1533
2015,2,28,648
2015,2,29,3179
2015,2,31,10901
2015,2,32,999
2015,2,33,4859
2015,2,35,143143
2015,2,41,6421
2015,2,42,1882
2015,2,43,101
2015,2,50,3735
2015,2,51,1604
2015,2,52,22223
2015,2,53,837
2015,3,11,985
2015,3,12,2258
2015,3,13,1177
2015,3,14,164
2015,3,15,2901
2015,3,16,1066
2015,3,17,3167
2015,3,21,2811
2015,3,22,2358
2015,3,23,10528
2015,3,24,7772
2015,3,25,3245
2015,3,26,20501
2015,3,27,2100
2015,3,28,1682
2015,3,29,13350
2015,3,31,35003
2015,3,32,1781
2015,3,33,12913
2015,3,35,322982
2015,3,41,20536
2015,3,42,2813
2015,3,43,698
2015,3,50,6816
2015,3,51,3201
2015,3,52,37334
2015,3,53,1551
2015,4,11,884
2015,4,12,1731
2015,4,13,849
2015,4,14,195
2015,4,15,2223
2015,4,16,578
2015,4,17,3291
2015,4,21,2188
2015,4,22,3537
2015,4,23,18002
2015,4,24,8224
2015,4,25,5300
2015,4,26,30062
2015,4,27,3199
2015,4,28,2052
2015,4,29,15375
2015,4,31,71197
2015,4,32,3155
2015,4,33,17927
2015,4,35,270722
2015,4,41,27682
2015,4,42,2682
2015,4,43,1558
2015,4,50,8677
2015,4,51,4847
2015,4,52,36758
2015,4,53,2951
2015,5,11,583
2015,5,12,1219
2015,5,13,838
2015,5,14,208
2015,5,15,1968
2015,5,16,467
2015,5,17,2903
2015,5,21,1072
2015,5,22,2370
2015,5,23,26607
2015,5,24,3915
2015,5,25,7433
2015,5,26,26856
2015,5,27,4368
2015,5,28,1090
2015,5,29,12737
2015,5,31,72094
2015,5,32,5551
2015,5,33,18160
2015,5,35,134327
2015,5,41,14078
2015,5,42,1441
2015,5,43,761
2015,5,50,5755
2015,5,51,5498
2015,5,52,40608
2015,5,53,2987
2015,6,11,302
2015,6,12,596
2015,6,13,775
2015,6,14,303
2015,6,15,1320
2015,6,16,261
2015,6,17,1983
2015,6,21,493
2015,6,22,1060
2015,6,23,19980
2015,6,24,1397
2015,6,25,4369
2015,6,26,13805
2015,6,27,3925
2015,6,28,353
2015,6,29,7742
2015,6,31,24862
2015,6,32,4812
2015,6,33,10108
2015,6,35,35562
2015,6,41,5817
2015,6,42,588
2015,6,43,231
2015,6,50,2570
2015,6,51,3418
2015,6,52,20932
2015,6,53,1902
2015,7,11,181
2015,7,12,383
2015,7,13,534
2015,7,14,335
2015,7,15,897
2015,7,16,236
2015,7,17,956
2015,7,21,379
2015,7,22,377
2015,7,23,10705
2015,7,24,638
2015,7,25,2538
2015,7,26,7426
2015,7,27,3511
2015,7,28,266
2015,7,29,7378
2015,7,31,6693
2015,7,32,3882
2015,7,33,4745
2015,7,35,11823
2015,7,41,2683
2015,7,42,278
2015,7,43,89
2015,7,50,1025
2015,7,51,1806
2015,7,52,6993
2015,7,53,708
2015,8,11,144
2015,8,12,253
2015,8,13,412
2015,8,14,507
2015,8,15,1162
2015,8,16,205
2015,8,17,591
2015,8,21,232
2015,8,22,271
2015,8,23,6211
2015,8,24,455
2015,8,25,1146
2015,8,26,4268
2015,8,27,2060
2015,8,28,734
