Ano,Mês,Quantidade de Casos,COD_UF,precipitacao_media_mensal_uf,temp_max_media_mensal_uf,temp_min_media_mensal_uf,umidade_max_media_mensal_uf,umidade_min_media_mensal_uf,pressao_max_media_mensal_uf,pressao_min_media_mensal_uf,Densidade demográfica(Pessoas por km²),Densidade domiciliar urbana(pessoas por moradia),Densidade domiciliar(pessoas por moradia),"Despesas per capita com saneamento, R$ a preços de 2024(R$ per capita a preços de 2024)",Internações totais por doenças de veiculação hídrica(Número de internações),População urbana(pessoas),População(pessoas)
2014,1,479,RO,363.3499999999997,25.33545718283996,24.35615306540112,87.36678199256612,81.98261814682073,973.207925682552,972.1829273419174,7.35,3.11,3.28,206.93,6719.0,1253146.0,1748531.0
2014,1,521,AC,306.1999999999999,26.16839753488903,25.172873055364903,86.33501344086022,80.10512672811058,988.055017921147,987.3652777777778,4.81,3.49,3.65,141.07,3459.0,572554.0,790101.0
2014,1,1537,AM,243.30588235294107,26.70418402032024,25.69537988219002,84.41478884425266,79.2359124634558,1003.8426854940572,1003.1895204997032,2.48,3.18,4.06,209.39,5485.0,2540454.0,3873743.0
2014,1,169,RR,3.6,28.693413978494625,27.389784946236578,63.33870967741933,58.20564516129034,1001.8202956989248,1001.218010752689,2.22,3.63,3.9,235.76,1190.0,381016.0,496936.0
2014,1,1085,PA,203.6555555555554,26.73937979011757,25.624338565977816,80.43844217122006,75.10074814057883,996.8654459045064,996.25281168777,6.47,3.1,3.79,66.49,45717.0,4767267.0,8073924.0
2014,1,34,AP,320.1999999999995,25.81115591397849,24.882997311827936,87.12096774193544,84.20833333333334,1010.2151881720436,1009.6596102150532,5.26,4.02,4.03,126.56,1031.0,672809.0,750912.0
2014,1,1655,TO,210.86,25.55228064050645,24.381888935437324,81.37330447330444,75.41300795978216,973.477778243262,972.8696860308148,5.39,3.36,3.28,414.68,3791.0,1232885.0,1496880.0
2014,1,138,MA,165.59999999999997,26.692863360680608,25.606870799862225,79.6233016433263,74.41180306241907,996.2743186320216,995.6751803037153,20.64,3.16,3.69,136.69,50406.0,3904808.0,6850884.0
2014,1,349,PI,51.58823529411766,27.717289190718727,26.35704584040748,68.73502751387733,62.407772218810585,981.6214912280705,981.0487903225808,12.7,3.21,3.4,229.01,18597.0,2027383.0,3194718.0
2014,1,2097,CE,49.485714285714295,27.90653980158904,26.663984089598163,66.7858045271357,61.3161953322368,983.5291575570664,982.9989792208077,59.39,3.22,3.34,244.54,20811.0,6571988.0,8842791.0
2014,1,562,RN,24.05714285714286,28.59096480310665,27.424714252373192,66.05440082615539,60.95330916667771,1001.7753282701652,1001.2651759265398,64.54,3.26,3.36,321.38,7501.0,2613635.0,3408510.0
2014,1,535,PB,49.875000000000014,26.758988575268827,25.478864247311822,67.97295026881717,62.25184811827954,973.4235383064516,972.9325268817204,69.84,3.1,3.31,313.92,11294.0,2873449.0,3943885.0
2014,1,829,PE,20.85,27.029736905142126,25.672422837041776,62.15643630895349,56.53506267965504,964.978248207885,964.4913679069518,94.6,3.14,3.24,287.44,11965.0,7404360.0,9277727.0
2014,1,860,AL,31.03333333333333,27.146482974910395,25.862634408602144,73.22267025089609,67.68817204301078,1000.1141129032258,999.6506272401436,119.28,3.13,3.39,193.66,7149.0,2316270.0,3321730.0
2014,1,110,SE,15.959999999999996,27.00953648078012,25.64870771842759,75.0661797424955,67.73131038455375,993.9170113403852,993.4690145183056,101.27,3.13,3.21,389.01,1766.0,1638694.0,2219574.0
2014,1,1429,BA,48.005405405405405,26.08430773478694,24.72393304082168,73.33672008104294,66.92216884783457,970.333907330724,969.8460900809536,26.79,3.1,3.23,350.81,43377.0,10770479.0,15126371.0
2014,1,8223,MG,74.60000000000002,24.71246312764348,23.182941543790445,72.5612331389616,65.20043756450254,932.8388804711054,932.3435910022384,35.35,3.01,3.1,478.32,23828.0,17517420.0,20734097.0
2014,1,3634,ES,51.57142857142858,26.02891465053763,24.648807123655907,78.10534274193549,72.05208333333333,988.7731854838712,988.3122143817204,84.3,3.01,3.1,491.97,6186.0,3230172.0,3885049.0
2014,1,2681,RJ,93.15,25.783854166666675,24.409335797491043,78.98805256869771,72.51566233572284,975.0857937574672,974.6173387096773,375.98,2.84,2.86,802.73,6477.0,15881308.0,16461173.0
2014,1,8622,SP,114.28148148148146,25.654944977920174,24.10831677594172,72.90942067121787,64.90820044759313,941.3557793897198,940.7931957675628,177.4,3.06,3.09,666.19,25907.0,41935126.0,44035304.0
2014,1,4316,PR,182.3428571428572,24.9326890671482,23.553739560548674,79.76681372123045,73.18762029428012,945.762513578217,945.2093201781838,55.6,2.97,3.04,568.0,17407.0,9407661.0,11081692.0
2014,1,70,SC,198.48421052631576,23.582266594292804,22.358677626137304,82.25218672456575,76.20387002300804,946.4932581162116,945.9628119830436,70.27,2.87,2.99,521.77,7076.0,5518342.0,6727148.0
2014,1,139,RS,178.57222222222217,25.22172637139041,23.903515664184088,76.68594763668364,70.73768957293679,975.2965053121372,974.747774019527,39.78,2.79,2.85,580.04,12150.0,9480768.0,11207274.0
2014,1,1149,MS,165.5583333333333,26.302395425306376,24.872931604500568,78.2855801868654,71.08726406856846,965.7199490984484,965.10946022986,7.33,3.0,3.12,558.57,3791.0,2224175.0,2619657.0
2014,1,1572,MT,211.95172413793088,25.18416445799204,23.976445041869976,84.46259657005747,78.67470041462003,967.7210908956868,966.9637539277994,3.57,2.87,3.14,275.4,6132.0,2465579.0,3224357.0
2014,1,10592,GO,121.92000000000002,24.900063332772326,23.43460443125204,74.40779697690078,66.53776247523668,931.7000108223392,931.12905251841,19.18,3.05,3.06,518.54,17986.0,5878386.0,6523222.0
2014,1,1110,DF,261.4000000000001,22.78098118279568,21.26505376344084,73.40120967741926,65.80913978494621,893.7324596774198,893.2198252688167,493.49,3.15,3.11,1071.45,1673.0,2754765.0,2852372.0
2014,2,704,RO,316.8499999999998,25.266220238095247,24.32213541666665,87.8113839285714,82.77492559523807,973.3826264880952,972.4529761904762,7.35,3.11,3.28,206.93,6719.0,1253146.0,1748531.0
2014,2,662,AC,206.54999999999995,25.547123871688427,24.62308182766688,89.01476218074582,84.41671635608623,986.884484704566,986.2084851608072,4.81,3.49,3.65,141.07,3459.0,572554.0,790101.0
